Commodity,Site,Version,Measure,NovW117,NovW217,NovW317,NovW417,DecW117,DecW217,DecW317,DecW417,DecW517,JanW117,JanW217,JanW317,JanW417,JanW517
HDD_4TB_SATA_6G_DT_CFG,FOXJUA_Site,FY17Q3W5,MRP_Part,192,192,186,174,312,229,215,171,124,93,150,177,177,180
HDD_4TB_SATA_6G_DT_CFG,FOXJUA_Site,FY17Q4W1,MRP_Part,#Missing,175,175,475,304,222,209,317,120,91,160,340,182,184
HDD_4TB_SATA_6G_DT_CFG,FOXJUA_Site,FY17Q4W2,MRP_Part,#Missing,#Missing,173,472,304,220,207,315,119,90,160,339,181,183
HDD_4TB_SATA_6G_DT_CFG,FOXJUA_Site,FY17Q4W3,MRP_Part,#Missing,#Missing,#Missing,472,304,220,207,315,119,90,160,339,181,183
HDD_4TB_SATA_6G_DT_CFG,FOXJUA_Site,FY17Q4W4,MRP_Part,#Missing,#Missing,#Missing,#Missing,486,207,207,157,293,136,168,183,341,176
HDD_4TB_SATA_6G_DT_CFG,FOXJUA_Site,FY17Q4W5,MRP_Part,#Missing,#Missing,#Missing,#Missing,#Missing,207,207,157,293,136,168,183,341,176
HDD_4TB_SATA_6G_DT_CFG,FOXJUA_Site,FY17Q4W6,MRP_Part,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,208,171,284,135,167,181,339,175
HDD_4TB_SATA_6G_DT_CFG,FOXJUA_Site,FY17Q4W7,MRP_Part,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,171,284,135,167,181,339,175
HDD_4TB_SATA_6G_DT_CFG,FOXJUA_Site,FY17Q4W8,MRP_Part,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,284,129,161,176,334,169
HDD_4TB_SATA_6G_DT_CFG,FOXJUA_Site,FY17Q4W9,MRP_Part,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,130,163,178,336,171
HDD_4TB_SATA_6G_DT_CFG,FOXJUA_Site,FY17Q4W10,MRP_Part,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,163,178,336,171
HDD_4TB_SATA_6G_DT_CFG,FOXJUA_Site,FY17Q4W11,MRP_Part,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,178,336,171
HDD_4TB_SATA_6G_DT_CFG,FOXJUA_Site,FY17Q4W12,MRP_Part,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,340,175
HDD_4TB_SATA_6G_DT_CFG,FOXJUA_Site,FY17Q4W13,MRP_Part,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,175
HDD_4TB_SATA_6G_DT_CFG,FOXJUA_Site,FY17Q4W14,Part_Cust_Sales,237,272,324,481,587,208,240,279,281,189,223,243,266,248
HDD_2TB_SATA_6G_DT_CFG,FOXJUA_Site,FY17Q3W5,MRP_Part,3931,4198,4490,3972,4305,3974,3401,3542,2565,2502,3226,3045,2813,2841
HDD_2TB_SATA_6G_DT_CFG,FOXJUA_Site,FY17Q4W1,MRP_Part,#Missing,2849,5702,5012,5147,4438,4350,3921,2952,2409,2155,2912,2446,2259
HDD_2TB_SATA_6G_DT_CFG,FOXJUA_Site,FY17Q4W2,MRP_Part,#Missing,#Missing,3230,6193,4982,4252,4004,3915,2702,2522,2440,3350,2503,2537
HDD_2TB_SATA_6G_DT_CFG,FOXJUA_Site,FY17Q4W3,MRP_Part,#Missing,#Missing,#Missing,3705,6135,4220,3781,3912,2620,2545,2659,3567,2700,2855
HDD_2TB_SATA_6G_DT_CFG,FOXJUA_Site,FY17Q4W4,MRP_Part,#Missing,#Missing,#Missing,#Missing,3926,5370,3791,3862,3287,2375,3374,3306,2664,2472
